"LOA DATE",PRODUCT,MODEL,"PRIMARY VIOLATION",CITATION,"ACTION REQUESTED",FIRM,"ADDRESS 1","ADDRESS 2","FOREIGN MFG","LOT SIZE",COUNTRY
"September 2017","SUPREME COURT JUSTICE",WG2001,"Fireworks Long Fuse Burn Time","16 CFR 1507.3","Correct Future Production","SKY'S THE LIMIT","10908 38TH ST. S.","HORACE, ND 58047","BEIHAI QIANGSHENG I/E TRADING CO., LTD",150,CHINA
"September 2017","BEAR DIADEM / HEADBAND",,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","SANDA IMPORTS INC.","16497 NW 49TH AVE","MIAMI, FL 33014","SHENZHEN CITY HUITONGLI TRADE DEVELPS LTD",300,CHINA
"September 2017","BOWTIE DIADEM / HEADBAND",,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","SANDA IMPORTS INC.","16497 NW 49TH AVE","MIAMI, FL 33014","SHENZHEN CITY HUITONGLI TRADE DEVELPS LTD",300,CHINA
"September 2017","FUCHSIA DIADEM / HEADBAND",,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","SANDA IMPORTS INC.","16497 NW 49TH AVE","MIAMI, FL 33014","SHENZHEN CITY HUITONGLI TRADE DEVELPS LTD",300,CHINA
"September 2017","PINK DIADEM / HEADBAND",,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","SANDA IMPORTS INC.","16497 NW 49TH AVE","MIAMI, FL 33014","SHENZHEN CITY HUITONGLI TRADE DEVELPS LTD",300,CHINA
"September 2017","CLEANING HOME TOY SET",CJ21/6622-2,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","YIWU DESHI IMP. & EXP. CO., LTD.",180,CHINA
"September 2017","RC CAR","VARIOUS SEE REM","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","YIWU DESHI IMP. & EXP. CO., LTD.",3620,CHINA
"September 2017","TOY GUN","VARIOUS SEE REM","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","YIWU DESHI IMP. & EXP. CO., LTD.",2040,CHINA
"September 2017","POP KEYBOARD","VARIOUS SEE REM","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","YIWU DESHI IMP. & EXP. CO., LTD.",480,CHINA
"September 2017",DINOSAUR,"VARIOUS SEE REM","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","SUPER ORIENTAL LLC","605 CALLE SAN JORGE STE 305","SAN JUAN, PR 00909","YIWU DESHI IMP. & EXP. CO., LTD.",960,CHINA
